Company code,Company Name,Sector,Industry,Year,EPS,BVPS,ROA,ROE,DIV,P/E Ratio,DAR,MB,DY,Market Cap,Total Assets,Year End Price
600817.SS,"Yutong Heavy Industries Co.,Ltd.",Industrials,Farm & Heavy Construction Machinery,2020,0.59,3.263828716,0.068403817,2.299541694,0,22.38931979,0.006977913,4.047301444,0,7091613419,4301088765,13.20969868
600819.SS,"Shanghai Yaohua Pilkington Glass Group Co., Ltd.",Basic Materials,Building Materials,2020,0.19,4.606986512,0.025695557,1.594740493,0.067,31.14637576,0.089127664,1.284529785,0.011321753,4423066921,6977139824,5.917811394
600820.SS,"Shanghai Tunnel Engineering Co., Ltd.",Industrials,Engineering & Construction,2020,0.72,7.342326688,0.02065537,4.360934097,0.21,6.184115675,0.310413627,0.606424023,0.047163844,13999304654,1.09428E+11,4.452563286
600821.SS,"NYOCOR Co., Ltd.",Utilities,Utilities - Renewable,2020,0.07,1.582023914,0.003887795,4.225664006,0,63.06945256,0.663669366,2.790641557,0,8817626778,14498528977,4.414861679
600824.SS,"Shanghai Yimin Commercial Group Co., Ltd.",Consumer Cyclical,Department Stores,2020,0.166,2.490761186,0.050460914,1.3054651,0.025,21.51852487,0.137630468,1.434129915,0.006998733,3765074405,3476833609,3.572075129
600825.SS,"Shanghai Xinhua Media Co., Ltd.",Communication Services,Publishing,2020,-0.28,2.30277548,-0.076393742,1.584819479,0.007,-15.83405222,0.030064389,1.92530043,0.001578876,4632555920,3813967115,4.433534622
600826.SS,Dlg Exhibitions & Events Corporation Limited,Communication Services,Advertising Agencies,2020,0.184286,5.041047475,0.026672732,1.375006666,0.092857,29.71798074,0.120683997,1.086402742,0.016955204,4028231329,5187083247,5.4766078
600827.SS,"Shanghai Bailian (Group) Co., Ltd.",Consumer Cyclical,Department Stores,2020,0.43,10.98270797,0.013373085,2.799365114,0.1,32.41472022,0.243672915,1.269115935,0.007174461,22363353751,57594401807,13.9383297
600828.SS,"Maoye Commercial Co., Ltd.",Consumer Cyclical,Department Stores,2020,0.123,3.788450461,0.009834193,3.046544663,0.3,26.99779883,0.376318174,0.876540235,0.090341602,5751436763,21660463637,3.320729256
600829.SS,HPGC Renmintongtai Pharmaceutical Corporation,Healthcare,Drug Manufacturers - Specialty & Generic,2020,0.25,3.436073915,0.023930629,3.046827278,0,28.36734009,0.11296313,2.063935525,0,4112477289,6070196746,7.091835022
600830.SS,"Sunny Loan Top Co.,Ltd.",Industrials,Specialty Business Services,2020,-0.05,4.578581057,-0.007467912,1.114530152,0.02,-105.9584141,0.042729448,1.157109733,0.003775066,2406967270,2989735901,5.297920704
